City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lebu,-37.6167,-73.65,59.59,77,0,12.62,CL,2021-04-25 19:38:43
1,Pevek,69.7008,170.3133,20.07,93,100,11.68,RU,2021-04-25 19:38:43
2,Puerto Ayora,-0.7393,-90.3518,82.4,65,20,19.57,EC,2021-04-25 19:38:43
3,Nuuk,64.1835,-51.7216,42.8,70,75,6.91,GL,2021-04-25 19:38:43
4,New Norfolk,-42.7826,147.0587,55.99,80,96,3.0,AU,2021-04-25 19:38:31
5,Burgeo,47.6167,-57.6152,43.77,73,7,8.12,CA,2021-04-25 19:38:45
6,Vila Velha,-20.3297,-40.2925,82.99,74,20,12.66,BR,2021-04-25 19:38:46
7,Avarua,-21.2078,-159.775,80.6,83,40,11.5,CK,2021-04-25 19:38:47
8,Bluff,-46.6,168.3333,44.01,82,71,10.0,NZ,2021-04-25 19:38:47
9,Carnarvon,-24.8667,113.6333,62.6,77,0,5.75,AU,2021-04-25 19:38:47
10,Upernavik,72.7868,-56.1549,36.27,83,4,4.05,GL,2021-04-25 19:38:48
11,Hasaki,35.7333,140.8333,46.4,42,20,13.8,JP,2021-04-25 19:38:33
12,Ushuaia,-54.8,-68.3,55.4,54,40,10.36,AR,2021-04-25 19:38:27
13,Faya,18.3851,42.4509,62.6,63,75,5.75,SA,2021-04-25 19:38:48
14,Zhigansk,66.7697,123.3711,32.5,99,100,8.39,RU,2021-04-25 19:37:54
15,Olafsvik,64.8945,-23.7142,43.77,84,12,8.7,IS,2021-04-25 19:37:45
16,Slovenske Konjice,46.3367,15.4258,55.0,50,40,6.91,SI,2021-04-25 19:38:51
17,Akdepe,42.0551,59.3788,66.2,24,0,13.8,TM,2021-04-25 19:38:52
18,Bantry,51.6833,-9.45,60.8,44,0,9.22,IE,2021-04-25 19:38:52
19,Hilo,19.7297,-155.09,75.2,69,90,4.61,US,2021-04-25 19:30:00
20,Saint George,37.1041,-113.5841,81.0,12,1,29.93,US,2021-04-25 19:34:42
21,Goiatuba,-18.0125,-49.3547,81.68,41,54,2.8,BR,2021-04-25 19:38:53
22,Santo Antonio Do Ica,-3.1022,-67.9397,78.66,95,98,2.73,BR,2021-04-25 19:38:53
